,internal_id,media_outlet,policy
341,186,CNN,Does not mention
342,187,Fox,Opposes
343,187,Fox,Opposes
344,188,MSNBC,Does not mention
345,188,MSNBC,Does not mention
346,189,Fox,Does not mention
347,189,Fox,Does not mention
348,190,PBS,Neutral
349,190,PBS,Neutral
350,191,CNN,Supports
351,191,CNN,Supports
352,192,CNN,Does not mention
353,192,CNN,Does not mention
354,193,CNN,Does not mention
355,193,CNN,Does not mention
356,194,ABC,Does not mention
357,194,ABC,Does not mention
358,197,CNN,Supports
359,197,CNN,Supports
360,198,Fox,Opposes
361,199,CNN,Does not mention
362,199,CNN,Does not mention
363,200,MSNBC,Does not mention
364,200,MSNBC,Does not mention
365,201,CNN,Does not mention
366,201,CNN,Does not mention
367,202,NBC,Does not mention
368,202,NBC,Does not mention
369,203,MSNBC,Does not mention
370,203,MSNBC,Does not mention
371,204,PBS,Does not mention
372,204,PBS,Does not mention
373,205,Fox,Opposes
374,205,Fox,Opposes
375,206,Fox,Opposes
376,206,Fox,Opposes
377,207,PBS,Supports
378,207,PBS,Supports
379,207,PBS,Supports
380,209,CNN,Neutral
381,209,CNN,Does not mention
382,210,CNN,Neutral
383,210,CNN,Does not mention
384,211,CNN,Does not mention
385,211,CNN,Does not mention
386,212,CNN,Does not mention
387,212,CNN,Does not mention
388,213,Fox,Opposes
389,213,Fox,Opposes
390,214,ABC,Does not mention
391,214,ABC,Does not mention
392,215,ABC,Does not mention
393,215,ABC,Does not mention
394,216,CBS,Neutral
395,216,CBS,Neutral
396,217,Fox,Does not mention
397,217,Fox,Does not mention
398,218,Fox,Opposes
399,218,Fox,Opposes
400,219,CNN,Supports
401,219,CNN,Supports
402,220,CBS,Neutral
403,220,CBS,Neutral
404,221,Fox,Does not mention
405,221,Fox,Does not mention
406,224,CNN,Does not mention
407,224,CNN,Does not mention
408,225,MSNBC,Does not mention
409,225,MSNBC,Does not mention
410,226,CBS,Does not mention
411,226,CBS,Does not mention
412,227,NBC,Does not mention
413,227,NBC,Does not mention
414,228,MSNBC,Does not mention
415,228,MSNBC,Does not mention
416,229,CNN,Does not mention
417,229,CNN,Does not mention
418,230,CNN,Supports
419,230,CNN,Does not mention
420,231,CBS,Does not mention
421,231,CBS,Does not mention
422,232,ABC,Does not mention
423,232,ABC,Does not mention
424,233,CNN,Does not mention
425,233,CNN,Does not mention
426,234,CNN,Does not mention
427,234,CNN,Does not mention
428,236,CNN,Neutral
429,236,CNN,Neutral
430,237,Fox,Does not mention
431,237,Fox,Does not mention
432,238,CNN,Does not mention
433,238,CNN,Does not mention
434,239,CNN,Does not mention
435,239,CNN,Does not mention
436,240,ABC,Does not mention
437,241,MSNBC,Does not mention
438,241,MSNBC,Does not mention
439,242,CNN,Does not mention
440,242,CNN,Does not mention
441,243,CNN,Does not mention
442,243,CNN,Does not mention
443,245,CNN,Does not mention
444,245,CNN,Does not mention
445,246,Fox,Does not mention
446,246,Fox,Does not mention
447,247,CNN,Does not mention
448,247,CNN,Does not mention
449,248,CNN,Does not mention
450,248,CNN,Does not mention
451,249,Fox,Does not mention
452,249,Fox,Does not mention
453,250,MSNBC,Does not mention
454,250,MSNBC,Does not mention
455,251,MSNBC,Supports
456,251,MSNBC,Does not mention
457,252,CNN,Does not mention
458,252,CNN,Does not mention
459,253,PBS,Does not mention
460,253,PBS,Neutral
461,254,CNN,Does not mention
462,254,CNN,Does not mention
463,255,CNN,Does not mention
464,255,CNN,Does not mention
465,256,CNN,Supports
466,256,CNN,Supports
467,258,CNN,Does not mention
468,258,CNN,Does not mention
469,259,CNN,Does not mention
470,259,CNN,Does not mention
471,260,Fox,Does not mention
472,260,Fox,Opposes
473,262,CNN,Does not mention
474,262,CNN,Opposes
475,263,CNN,Does not mention
476,263,CNN,Does not mention
477,264,CNN,Does not mention
478,264,CNN,Does not mention
479,265,CNN,Supports
480,265,CNN,Supports
481,266,CNN,Does not mention
482,266,CNN,Does not mention
483,267,MSNBC,Does not mention
484,267,MSNBC,Does not mention
485,268,Fox,Opposes
486,268,Fox,Opposes
487,269,CBS,Does not mention
488,269,CBS,Does not mention
489,270,NBC,Does not mention
490,270,NBC,Does not mention
491,271,CNN,Does not mention
492,271,CNN,Does not mention
493,272,MSNBC,Does not mention
494,272,MSNBC,Does not mention
495,273,CNN,Does not mention
496,273,CNN,Does not mention
497,274,NBC,Does not mention
498,274,NBC,Does not mention
499,275,Fox,Does not mention
500,275,Fox,Opposes
501,276,CNN,Supports
502,277,MSNBC,Supports
503,277,MSNBC,Supports
504,278,CNN,Supports
505,278,CNN,Supports
506,279,CNN,Supports
507,279,CNN,Supports
508,281,MSNBC,Supports
509,281,MSNBC,Supports
510,282,MSNBC,Supports
511,282,MSNBC,Supports
512,283,CBS,Does not mention
513,283,CBS,Does not mention
514,284,CNN,Does not mention
515,284,CNN,Does not mention
516,285,CNN,Does not mention
517,285,CNN,Does not mention
518,286,Fox,Does not mention
519,286,Fox,Does not mention
520,287,Fox,Neutral
521,287,Fox,Neutral
522,288,Fox,Debate
523,288,Fox,Debate
524,289,Fox,Neutral
525,289,Fox,Opposes
526,291,PBS,Does not mention
527,291,PBS,Does not mention
528,292,MSNBC,Does not mention
529,292,MSNBC,Does not mention
530,293,MSNBC,Does not mention
531,293,MSNBC,Does not mention
532,294,Fox,Does not mention
533,294,Fox,Does not mention
534,295,MSNBC,Does not mention
535,295,MSNBC,Does not mention
536,296,Fox,Opposes
537,296,Fox,Opposes
538,297,CNN,Does not mention
539,297,CNN,Does not mention
540,298,Fox,Does not mention
541,298,Fox,Does not mention
542,299,CNN,Does not mention
543,299,CNN,Does not mention
544,300,NBC,Does not mention
545,300,NBC,Does not mention
546,301,MSNBC,Does not mention
547,301,MSNBC,Does not mention
548,302,NBC,Does not mention
549,302,NBC,Does not mention
550,303,MSNBC,Does not mention
551,303,MSNBC,Does not mention
552,304,PBS,Does not mention
553,304,PBS,Does not mention
554,305,Fox,Opposes
555,305,Fox,Opposes
556,306,NBC,Does not mention
557,306,NBC,Does not mention
558,307,Fox,Neutral
559,307,Fox,Does not mention
560,308,NBC,Does not mention
561,308,NBC,Does not mention
562,310,Fox,Does not mention
563,310,Fox,Does not mention
564,311,Fox,Opposes
565,311,Fox,Does not mention
566,312,CNN,Does not mention
567,312,CNN,Does not mention
568,313,MSNBC,Does not mention
569,313,MSNBC,Does not mention
570,314,CNN,Does not mention
571,314,CNN,Does not mention
572,315,Fox,Does not mention
573,315,Fox,Does not mention
574,316,Fox,Opposes
575,316,Fox,Opposes
576,317,CNN,Does not mention
577,317,CNN,Does not mention
578,318,ABC,Does not mention
579,318,ABC,Does not mention
580,319,Fox,Opposes
581,319,Fox,Opposes
582,320,CNN,Does not mention
583,320,CNN,Does not mention
584,321,CNN,Does not mention
585,321,CNN,Does not mention
586,323,MSNBC,Does not mention
587,323,MSNBC,Does not mention
588,324,ABC,Does not mention
589,324,ABC,Does not mention
590,325,CNN,Does not mention
591,325,CNN,Does not mention
592,326,MSNBC,Does not mention
593,326,MSNBC,Does not mention
594,327,CNN,Does not mention
595,327,CNN,Does not mention
596,328,NBC,Does not mention
597,328,NBC,Does not mention
598,329,Fox,Does not mention
599,329,Fox,Does not mention
600,330,Fox,Does not mention
601,330,Fox,Does not mention
602,331,CNN,Does not mention
603,331,CNN,Does not mention
604,332,MSNBC,Supports
605,332,MSNBC,Supports
606,333,CNN,Supports
607,333,CNN,Supports
608,336,CNN,Does not mention
609,336,CNN,Does not mention
610,338,CNN,Does not mention
611,338,CNN,Does not mention
612,339,CNN,Does not mention
613,339,CNN,Does not mention
614,340,ABC,Does not mention
615,340,ABC,Does not mention
616,341,CNN,Does not mention
617,341,CNN,Does not mention
618,342,CNN,Does not mention
619,342,CNN,Does not mention
620,343,NBC,Does not mention
621,343,NBC,Does not mention
622,344,MSNBC,Does not mention
623,344,MSNBC,Does not mention
624,346,CNN,Does not mention
625,346,CNN,Does not mention
626,347,Fox,Does not mention
627,347,Fox,Does not mention
628,348,CBS,Does not mention
629,348,CBS,Does not mention
630,349,CNN,Does not mention
631,349,CNN,Does not mention
632,350,MSNBC,Supports
633,350,MSNBC,Supports
634,351,Fox,Does not mention
635,351,Fox,Does not mention
636,352,CNN,Does not mention
637,352,CNN,Does not mention
638,353,PBS,Does not mention
639,353,PBS,Neutral
640,354,CNN,Does not mention
641,354,CNN,Does not mention
642,355,CNN,Does not mention
643,355,CNN,Does not mention
644,356,PBS,Does not mention
645,356,PBS,Does not mention
646,357,CNN,Does not mention
647,357,CNN,Does not mention
648,358,MSNBC,Does not mention
649,358,MSNBC,Does not mention
650,359,CNN,Does not mention
651,359,CNN,Does not mention
652,360,MSNBC,Does not mention
653,360,MSNBC,Does not mention
654,361,CNN,Does not mention
655,361,CNN,Does not mention
656,362,CNN,Does not mention
657,362,CNN,Does not mention
658,363,Fox,Does not mention
659,363,Fox,Does not mention
660,365,CBS,Does not mention
661,365,CBS,Does not mention
662,366,CBS,Does not mention
663,366,CBS,Does not mention
664,367,CNN,Does not mention
665,367,CNN,Does not mention
666,368,CNN,Supports
667,368,CNN,Supports
668,369,CNN,Does not mention
669,369,CNN,Does not mention
670,370,CNN,Does not mention
671,370,CNN,Does not mention
672,371,CNN,Does not mention
673,371,CNN,Does not mention
674,373,MSNBC,Debate
675,373,MSNBC,Debate
676,374,Fox,Debate
677,374,Fox,Debate
678,375,CNN,Does not mention
679,375,CNN,Does not mention
680,376,CNN,Does not mention
681,376,CNN,Does not mention
682,377,CNN,Does not mention
683,377,CNN,Does not mention
684,378,CNN,Does not mention
685,378,CNN,Does not mention
686,379,MSNBC,Supports
687,379,MSNBC,Supports
688,380,Fox,Neutral
689,380,Fox,Neutral
690,382,CNN,Neutral
691,382,CNN,Supports
692,383,Fox,Opposes
693,383,Fox,Opposes
694,384,CNN,Does not mention
695,384,CNN,Supports
696,385,ABC,Does not mention
697,385,ABC,Does not mention
698,386,MSNBC,Does not mention
699,386,MSNBC,Does not mention
700,387,CNN,Does not mention
701,387,CNN,Does not mention
702,388,CNN,Does not mention
703,388,CNN,Does not mention
704,389,CBS,Does not mention
705,389,CBS,Does not mention
706,390,CNN,Neutral
707,390,CNN,Neutral
708,391,CNN,Does not mention
709,391,CNN,Does not mention
710,392,CNN,Does not mention
711,392,CNN,Does not mention
712,393,Fox,Opposes
713,393,Fox,Opposes
714,394,CNN,Neutral
715,394,CNN,Neutral
716,395,Fox,Neutral
717,395,Fox,Neutral
718,396,CNN,Neutral
719,396,CNN,Neutral
720,397,MSNBC,Does not mention
721,397,MSNBC,Does not mention
722,399,CNN,Does not mention
723,399,CNN,Does not mention
724,400,CNN,Does not mention
725,400,CNN,Does not mention
726,401,CNN,Does not mention
727,401,CNN,Does not mention
728,402,CNN,Does not mention
729,402,CNN,Does not mention
730,404,Fox,Does not mention
731,404,Fox,Does not mention
732,405,CNN,Does not mention
733,405,CNN,Does not mention
734,406,CNN,Does not mention
735,406,CNN,Does not mention
